keys,en
"Welcome traveller! No time to talk, [wave amp=25 freq=5]giant bugs[/wave] are attacking our beautiful town!","Welcome traveller! No time to talk, [wave amp=25 freq=5]giant bugs[/wave] are attacking our beautiful town!"
The guard is too lazy to help. [shake rate=20 level=10]Please help us![/shake],The guard is too lazy to help. [shake rate=20 level=10]Please help us![/shake]
Go into the first area and mess up as many bugs as you can.,Go into the first area and mess up as many bugs as you can.
"Use W A S D to control the character and your mouse to control the gun. Use the left mouse button to shoot! Don't forget to press ""M"" on your keyboard to switch your default weapon.","Use W A S D to control the character and your mouse to control the gun. Use the left mouse button to shoot! Don't forget to press ""M"" on your keyboard to switch your default weapon."
The bugs will drop [wave amp=25 freq=5]coins[/wave] and sometimes [wave amp=25 freq=5]pork[/wave]. The pork will heal you!,The bugs will drop [wave amp=25 freq=5]coins[/wave] and sometimes [wave amp=25 freq=5]pork[/wave]. The pork will heal you!
"Once you accumulate[wave amp=25 freq=5] 20[/wave] coins, proceed to the next area.","Once you accumulate[wave amp=25 freq=5] 20[/wave] coins, proceed to the next area."
"Once you get[wave amp=25 freq=5] 300 [/wave]coins, you saved the town!","Once you get[wave amp=25 freq=5] 300 [/wave]coins, you saved the town!"
"Don't be afraid to faint, you'll be carried back here.","Don't be afraid to faint, you'll be carried back here."
What can I do to help?,What can I do to help?
Glady!,Glady!
"To start, go to [wave amp=25 freq=5]level one[/wave].","To start, go to [wave amp=25 freq=5]level one[/wave]."
"Level one has a coin cap of [shake rate=20 level=10]40 coins[/shake]. Once you reach that, you'll be deemed too strong for that area and you'll be [shake rate=20 level=10]kicked out[/shake].","Level one has a coin cap of [shake rate=20 level=10]40 coins[/shake]. Once you reach that, you'll be deemed too strong for that area and you'll be [shake rate=20 level=10]kicked out[/shake]."
You won't be able to re-enter level one if you have [shake rate=20 level=10]more than 20 coins[/shake].,You won't be able to re-enter level one if you have [shake rate=20 level=10]more than 20 coins[/shake].
"However, that means you'll be able to start level two! But watch out, the enemies are much faster and it costs [shake rate=20 level=10]20 coins[/shake] every time you want to re-enter the level.","However, that means you'll be able to start level two! But watch out, the enemies are much faster and it costs [shake rate=20 level=10]20 coins[/shake] every time you want to re-enter the level."
"But don't worry, if you ever run out, you'll be able to re-attempt level one as long as you have less than 20 coins!","But don't worry, if you ever run out, you'll be able to re-attempt level one as long as you have less than 20 coins!"
Could you explain how the levels work?,Could you explain how the levels work?
[shake rate=20 level=10]Please save the town![/shake],[shake rate=20 level=10]Please save the town![/shake]
Goodbye!,Goodbye!
